"503 Service Unavailable","503 Service Unavailable"
"200 OK","200 OK"
"Website Closed","Website Closed"
"Private Sales: Login Only","Private Sales: Login Only"
"Private Sales: Login and Register","Private Sales: Login and Register"
"To login form (302 Found)","To login form (302 Found)"
"To landing page (302 Found)","To landing page (302 Found)"
"Startup Page","Startup Page"
"Landing Page","Landing Page"
"Access Restriction","Access Restriction"
"Restriction Mode","Restriction Mode"
"Applicable only if restriction mode is set to ""Private Sales"".","Applicable only if restriction mode is set to ""Private Sales""."
"HTTP Response","HTTP Response"
"Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML.","Applicable only if restriction mode is set to ""Website Closed"". The landing page is rendered as raw HTML."
"Private Sales","Private Sales"
